#,Temp,Pressure,Backflow
437,0.69%,0.36%,-23.18%
250,0.24%,0.38%,-17.68%
435,0.68%,0.38%,-26.01%
812,-0.16%,0.38%,-9.09%
868,0.35%,0.38%,-10.06%
339,-0.08%,0.39%,2.02%
142,2.78%,0.39%,66.81%
878,-0.01%,0.40%,-11.73%
213,0.41%,0.40%,-14.87%
763,-0.08%,0.40%,-10.82%
825,-0.01%,0.41%,-13.46%
978,0.18%,0.41%,-17.15%
929,0.59%,0.42%,-9.69%
47,0.08%,0.42%,-21.73%
773,0.27%,0.42%,-12.62%
718,0.57%,0.42%,-8.97%
946,-0.11%,0.42%,-18.94%
768,0.44%,0.44%,-10.74%
627,-1.28%,0.44%,-12.41%
966,-0.24%,0.44%,-19.57%
97,1.01%,0.46%,-29.75%
537,-0.37%,0.48%,12.28%
875,-0.01%,0.48%,-11.61%
513,-3.07%,0.48%,87.31%
63,0.61%,0.49%,-22.67%
40,-0.02%,0.49%,-17.39%
517,-0.61%,0.49%,13.23%
42,0.22%,0.50%,-17.21%
514,-0.08%,0.50%,73.93%
261,0.24%,0.51%,-9.90%
981,-0.28%,0.53%,-0.69%
389,0.24%,0.53%,-26.71%
352,1.47%,0.53%,8.03%
283,0.65%,0.55%,-11.84%
210,-0.06%,0.55%,-12.47%
669,-1.45%,0.55%,67.63%
227,-0.20%,0.55%,-3.74%
842,-0.15%,0.56%,-10.12%
595,-0.03%,0.58%,-28.03%
23,0.60%,0.60%,5.15%
528,0.05%,0.60%,-10.87%
803,-0.02%,0.60%,44.83%
891,-0.01%,0.60%,32.48%
102,0.56%,0.60%,-30.45%
899,0.29%,0.61%,4.33%
954,-0.04%,0.61%,-19.07%
994,0.00%,0.61%,0.77%
457,1.34%,0.61%,-21.14%
574,0.04%,0.62%,-23.12%
831,0.48%,0.63%,-3.69%
50,0.01%,0.63%,-25.47%
980,-0.41%,0.64%,-0.56%
863,0.29%,0.64%,-10.02%
41,0.83%,0.64%,-12.40%
690,-0.48%,0.65%,41.95%
467,-1.73%,0.65%,46.76%
697,-0.16%,0.65%,9.86%
525,-0.08%,0.66%,-5.34%
631,-1.72%,0.67%,2.59%
784,0.18%,0.67%,-4.53%
783,0.04%,0.67%,-6.83%
928,-0.10%,0.68%,-11.60%
165,3.90%,0.69%,143.23%
471,-1.04%,0.69%,26.42%
320,-0.92%,0.69%,-8.77%
33,-1.19%,0.70%,4.83%
970,0.37%,0.70%,-14.63%
6,0.86%,0.70%,3.66%
333,-0.24%,0.71%,-13.88%
26,0.30%,0.72%,-5.13%
985,0.28%,0.72%,-12.77%
105,0.68%,0.72%,-25.16%
394,-0.09%,0.73%,-25.78%
181,0.03%,0.74%,13.67%
361,0.36%,0.74%,-0.78%
216,0.25%,0.74%,-17.65%
890,-0.31%,0.76%,33.72%
675,-0.25%,0.78%,55.85%
949,0.12%,0.80%,-6.65%
258,0.00%,0.80%,-14.54%
807,-1.10%,0.81%,43.38%
572,0.15%,0.83%,-16.84%
922,0.19%,0.83%,0.89%
557,0.03%,0.83%,-18.79%
698,0.63%,0.84%,19.49%
772,0.37%,0.84%,-13.08%
736,0.10%,0.85%,-10.21%
896,0.23%,0.85%,8.89%
924,-0.16%,0.85%,-11.12%
284,-1.47%,0.86%,-9.47%
479,1.94%,0.87%,15.98%
443,-0.18%,0.87%,-8.17%
615,0.36%,0.89%,-26.51%
244,-0.20%,0.90%,15.43%
304,-0.84%,0.90%,13.73%
931,0.28%,0.90%,-18.07%
764,0.18%,0.91%,-8.08%
83,-2.09%,0.92%,-22.25%
451,0.90%,0.92%,-8.69%
879,-0.40%,0.92%,-15.97%
958,0.40%,0.93%,-17.77%
930,0.49%,0.93%,-8.29%
351,0.29%,0.99%,6.98%
838,-0.70%,0.99%,-13.25%
127,0.86%,1.00%,-0.23%
571,-0.17%,1.01%,-16.11%
873,-0.02%,1.02%,-16.48%
274,-1.19%,1.02%,29.21%
131,-0.79%,1.03%,42.04%
375,-0.97%,1.03%,-12.39%
638,-0.77%,1.03%,-1.54%
991,0.56%,1.05%,-2.90%
90,-0.72%,1.08%,-19.36%
840,0.15%,1.10%,-14.68%
810,0.15%,1.11%,0.37%
173,0.17%,1.11%,14.06%
469,-0.31%,1.11%,8.79%
997,1.47%,1.12%,34.54%
870,-0.02%,1.13%,-12.49%
345,0.19%,1.14%,2.44%
445,0.73%,1.14%,-17.95%
360,0.01%,1.15%,-19.61%
146,-0.56%,1.16%,118.69%
833,0.07%,1.17%,8.79%
279,0.33%,1.18%,-13.19%
293,-0.83%,1.18%,19.70%
854,-0.07%,1.19%,-11.24%
610,0.71%,1.19%,-31.87%
502,1.15%,1.20%,70.76%
238,-0.27%,1.23%,-18.12%
742,0.08%,1.24%,7.67%
634,-0.30%,1.25%,-1.43%
972,0.37%,1.26%,-7.51%
687,0.20%,1.26%,63.53%
919,-0.54%,1.27%,-12.93%
871,0.12%,1.27%,-10.87%
1,0.44%,1.28%,5.23%
630,0.17%,1.29%,-7.10%
567,1.01%,1.30%,-18.42%
785,0.18%,1.32%,-4.43%
501,-0.34%,1.32%,73.36%
603,0.19%,1.33%,-30.67%
869,-0.06%,1.35%,-12.19%
231,-0.04%,1.38%,-25.30%
397,0.22%,1.39%,-27.49%
317,0.69%,1.41%,-13.66%
799,0.77%,1.41%,12.60%
536,0.12%,1.41%,6.65%
472,0.26%,1.41%,28.86%
839,-0.17%,1.41%,-4.42%
412,0.45%,1.43%,-26.44%
379,0.09%,1.43%,-20.15%
404,0.21%,1.44%,-27.96%
889,-0.56%,1.44%,22.43%
522,0.08%,1.45%,-7.29%
44,0.33%,1.46%,-21.14%
660,-0.97%,1.47%,20.90%
417,0.20%,1.47%,-25.72%
759,-0.06%,1.49%,-6.50%
183,0.52%,1.50%,10.71%
318,0.36%,1.51%,-18.36%
654,-0.11%,1.51%,58.76%
909,-0.27%,1.52%,-5.68%
399,-0.51%,1.52%,-22.39%
365,1.08%,1.52%,1.63%
325,0.35%,1.53%,-14.95%
962,-0.89%,1.54%,-5.49%
617,-0.30%,1.55%,-19.70%
843,-0.56%,1.57%,-7.87%
267,0.88%,1.57%,6.47%
346,0.28%,1.57%,6.14%
989,0.39%,1.57%,-9.15%
553,0.43%,1.58%,6.52%
476,0.00%,1.59%,-29.20%
48,0.03%,1.59%,-25.94%
811,0.00%,1.60%,-9.59%
18,-0.46%,1.60%,-3.06%
755,0.02%,1.61%,4.50%
744,0.22%,1.64%,-1.45%
396,0.65%,1.64%,-27.48%
291,0.49%,1.66%,42.90%
723,0.20%,1.67%,-12.51%
410,0.15%,1.67%,-30.90%
403,1.25%,1.69%,6.72%
273,-1.27%,1.69%,1.01%
347,-0.60%,1.70%,-5.90%
280,0.05%,1.70%,-10.16%
895,-0.58%,1.71%,4.59%
117,0.72%,1.72%,-23.04%
286,-0.05%,1.73%,-5.67%
81,1.64%,1.74%,-29.78%
898,-0.09%,1.78%,4.61%
548,0.05%,1.79%,-9.30%
486,0.65%,1.81%,-18.47%
277,-0.12%,1.82%,-22.18%
845,0.08%,1.83%,-11.33%
813,-0.11%,1.85%,-5.63%
623,1.60%,1.90%,-18.03%
827,0.12%,1.92%,-17.18%
856,0.60%,1.92%,-17.43%
892,0.00%,1.92%,26.91%
382,0.32%,1.93%,-26.27%
332,0.28%,1.93%,-16.02%
407,0.42%,1.94%,-31.55%
953,0.30%,1.95%,-16.68%
242,-0.06%,1.96%,-24.56%
561,0.95%,1.97%,-18.44%
248,0.23%,1.99%,59.83%
239,0.08%,2.03%,4.84%
563,0.23%,2.03%,-9.27%
381,0.81%,2.04%,-19.70%
74,1.03%,2.05%,-15.51%
776,-0.11%,2.06%,-6.57%
328,0.48%,2.06%,-12.69%
483,-0.29%,2.07%,35.74%
478,0.03%,2.08%,10.90%
864,0.44%,2.08%,-8.25%
421,-0.29%,2.09%,-24.64%
540,0.11%,2.10%,-0.48%
