#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
853,-0.11%,349,0.29%,510,-11.66%,341,400,,,
846,0.34%,721,-2.48%,129,-11.36%,350,400,,,
40,-0.02%,429,0.49%,551,-17.39%,221,400,,,
334,0.30%,698,-8.16%,13,-6.48%,490,400,,,
130,-1.73%,36,-1.10%,298,29.67%,871,402,,,
240,0.22%,638,-0.39%,409,-20.58%,159,402,,,
43,0.39%,749,-0.94%,324,-22.03%,135,403,,,
47,0.08%,534,0.42%,539,-21.73%,140,404,,,
414,-0.94%,93,3.75%,856,-15.04%,264,404,,,
66,0.65%,863,-1.44%,240,-23.58%,112,405,,,
967,0.19%,615,-0.09%,448,-20.86%,154,406,,,
185,-1.73%,37,-1.06%,308,30.83%,874,406,,,
470,-0.27%,233,-2.14%,159,20.95%,828,407,,,
637,0.29%,688,-2.42%,135,-9.80%,398,407,,,
211,-0.06%,397,0.32%,518,-12.72%,307,407,,,
337,-0.36%,199,-1.11%,296,8.19%,729,408,,,
199,-0.50%,166,2.23%,750,-12.69%,309,408,,,
311,-0.90%,97,-1.01%,316,18.84%,815,409,,,
986,0.06%,515,-0.56%,382,-12.14%,332,410,,,
624,0.06%,516,0.25%,501,-17.62%,214,410,,,
413,-0.64%,132,4.76%,888,-17.63%,213,411,,,
771,0.31%,703,-1.59%,214,-12.43%,318,412,,,
573,0.72%,891,-1.58%,217,-22.51%,129,412,,,
242,-0.06%,400,1.96%,731,-24.56%,107,413,,,
101,0.52%,817,-0.34%,420,-33.75%,4,414,,,
982,0.18%,597,-2.33%,142,-5.75%,503,414,,,
802,-1.34%,59,-1.09%,302,32.10%,881,414,,,
730,-0.07%,390,-1.96%,177,4.28%,677,415,,,
264,-0.25%,246,-1.68%,203,15.80%,795,415,,,
860,0.23%,650,-0.60%,378,-17.46%,217,415,,,
371,-0.36%,201,-1.92%,181,28.64%,863,415,,,
46,-0.52%,157,6.92%,933,-20.65%,158,416,,,
877,0.01%,452,-0.28%,426,-10.86%,370,416,,,
643,-1.56%,47,-1.02%,312,34.25%,893,417,,,
377,0.08%,540,0.00%,466,-15.89%,247,418,,,
806,0.01%,460,-9.41%,8,13.84%,786,418,,,
302,-0.31%,212,-2.35%,141,35.87%,901,418,,,
812,-0.16%,310,0.38%,529,-9.09%,417,419,,,
425,0.38%,740,0.27%,506,-31.73%,11,419,,,
324,-0.12%,340,-1.87%,183,8.47%,734,419,,,
56,0.31%,702,0.17%,490,-26.70%,66,419,,,
706,0.17%,594,-1.30%,267,-9.87%,397,419,,,
